Título,Nota,URL,Comentar
Online Resume Builder | Free Resume Maker | Enhancv,,https://enhancv.com/?utm_source=google&utm_medium=cpc&utm_campaign=google_performance_max_non_core_markets&gad_source=1&gclid=CjwKCAjwxY-3BhAuEiwAu7Y6s1sjudK_Nza1XjnylM9C8v2Pug5dVNyl1_IKfZzY2Bj592b-E8GS7RoCA8MQAvD_BwE,
Computação Quântica avança e promete revolução na tecnologia,,"https://www.terra.com.br/noticias/computacao-quantica-avanca-e-promete-revolucao-na-tecnologia,fd319d3ef837222a6619dbfaf677701ceff2jusj.html",
Review JBL Wave Buds | O rei dos fones custo-benefício - Canaltech,,https://canaltech.com.br/produto/jbl/wave-buds/analise/,
New Lord of the Rings Game Announced,,https://comicbook.com/gaming/news/lord-of-the-rings-adventure-book-game-tabletop-board-game-ravensburger/,
"Future Nostalgia Tour – Wikipédia, a enciclopédia livre",,https://pt.m.wikipedia.org/wiki/Future_Nostalgia_Tour,
Wordle,,https://www.nytimes.com/games/wordle/index.html,
Bagagem de mão | LATAM Airlines,,https://www.latamairlines.com/br/pt/experiencia/prepare-sua-viagem/bagagem/bagagem-de-mao,
Aposte em Futebol Americano com Odds Ao Vivo,,https://sportsbet.io/pt/sports/american-football/inplay,
Receita de Pão de Cacau com Chocolate,,https://amopaocaseiro.com.br/receita/pao-de-cacau/,
Design sprint - Wikipedia,,https://en.m.wikipedia.org/wiki/Design_sprint,
"35+ Dark bathroom ideas - industrial, inner city, modern and more",,https://www.airtasker.com/blog/dark-bathroom/,
4.2.4 Variáveis independentes categóricas - Análise de Regressão,,http://www.portalaction.com.br/analise-de-regressao/424-variaveis-independentes-categoricas,
5 lesser-known pandas tricks - Towards Data Science,,https://towardsdatascience.com/5-lesser-known-pandas-tricks-e8ab1dd21431,
Nest | Create a Connected Home,,https://nest.com/,
9 Data Visualization Tools That You Cannot Miss in 2019,,https://towardsdatascience.com/9-data-visualization-tools-that-you-cannot-miss-in-2019-3ff23222a927,
Lighting Temperature Guide - Flip The Switch,,https://www.destinationlighting.com/fliptheswitch/lighting-temperature-guide/,
Reflections on Applying Data Science for Financial Freedom,,https://towardsdatascience.com/reflections-on-applying-data-science-for-financial-freedom-129fae08709a,
How to optimize your Jupyter Notebook,,https://www.freecodecamp.org/news/optimize-your-jupyter-notebook/,
"Roteiro em Santiago: dicas para 3, 4, 5, 6 e 7 dias no Chile",,https://www.queroviajarmais.com/roteiro-santiago-chile-3-5-7-dias/,
"Amazon.com: General Mills, Cheerios, Protein Cereal, Cinnamon Almond, 
14.1oz Box (Pack of 4):",,https://www.amazon.com/General-Mills-Cheerios-Protein-Cinnamon/dp/B00KTL9T1Q,
"The Harvard Data Science Initiative and The MIT Press Launch the HARVARD 
DATA SCIENCE REVIEW - insideBIGDATA",,https://insidebigdata.com/2019/07/14/the-harvard-data-science-initiative-and-the-mit-press-launch-the-harvard-data-science-review/,
"Amazon.com : HHCC Xiaomi 4 in 1 Plant Flower Care Smart Monitor, White : 
Garden & Outdoor",,https://www.amazon.com/HHCC-Xiaomi-Plant-Flower-Monitor/dp/B06X9V2FKJ,
Como percorrer as linhas até ficar em branco na coluna do Excel?,,https://www.extendoffice.com/pt/documents/excel/4438-excel-loop-until-blank.html,
8 House / BIG | ArchDaily,,https://www.archdaily.com/83307/8-house-big,
Urban Pyramid in NYC (11 pics + video),,https://mymodernmet.com/urban-pyramid-in-nyc-11-pics/,
SURFACE DESIGN - www.youhannahojeily.com,,https://cargocollective.com/youhannahojeily/SURFACE-DESIGN,
TrackMaker | Baixar GPS TrackMaker Free,,https://www.trackmaker.com/main/pt/download-gps-software-gratis,
Como usar bem o lixo - Revista Galileu | Meio Ambiente,,https://revistagalileu.globo.com/Ciencia/Meio-Ambiente/noticia/2016/05/como-usar-bem-o-lixo.html,
"SARAH JEFFERYS DESIGN Architecture and Interiors is hiring a 
Junior/Intermediate Architecture and Interiors Draftsperson, Social Media 
coordinator in Soho, New York, NY, USA",,https://m.archinect.com/jobs/entry/150087768/junior-intermediate-architecture-and-interiors-draftsperson-social-media-coordinator,
NumPy Tutorial: A Simple Example-Based Guide,,https://stackabuse.com/numpy-tutorial-a-simple-example-based-guide/,
Becoming a Data Scientist (article) - DataCamp,,https://www.datacamp.com/community/podcast/becoming-data-scientist,
Mahalo Maresias | Espaço de eventos,,https://www.mahalomaresias.com.br/,
,,https://towardsdatascience.com/python-plotting-basics-simple-charts-with-matplotlib-seaborn-and-plotly-e36346952a3a,
Cálculo Amostral - Calculadora on-line,,http://www.publicacoesdeturismo.com.br/calculoamostral/,
,,https://towardsdatascience.com/data-science-leaders-there-are-too-many-of-you-37bff8088505,
Glycemic index for 60+ foods - Harvard Health,,https://www.health.harvard.edu/diseases-and-conditions/glycemic-index-and-glycemic-load-for-100-foods,
,,https://wplift.com/wordpress-microsoft-azure,
Channel Fireball - Landing,,http://store.channelfireball.com/landing,
Sideboarding with Bloodbraid Jund - ManaDeprived.com,,http://manadeprived.com/sideboarding-bloodbraid-jund/,
Statbot – Analytics and Metrics for Intercom,,https://statbot.io/,
"Marco Gomes – interneteiro, imigrante, nerd, cristão, biker",,http://marcogomes.com/blog/,
